vendor_id,variant_id,ordered_qty,received_qty,temperature_measured,unit_cost,expiry_date,sell_before_date,batch_no,vendor_invoice_number
VND-001,VAR-MILK-001,500,498,4,18.00,2026-06-07,2026-06-04,BATCH-M-001,100101
VND-001,VAR-MILK-001,200,200,5,18.00,2026-06-07,2026-06-04,BATCH-M-002,100102
VND-002,VAR-PANEER-001,100,98,3,85.00,2026-06-10,2026-06-05,BATCH-P-001,100103
VND-002,VAR-CURD-001,300,300,4,22.00,2026-06-08,2026-06-05,BATCH-C-001,100104
VND-003,VAR-BREAD-001,150,148,6,35.00,2026-06-06,2026-06-05,BATCH-BR-001,100105
VND-003,VAR-BUTTER-001,80,80,3,55.00,2026-06-15,2026-06-08,BATCH-BT-001,100106
VND-004,VAR-TOMATO-001,200,195,12,12.00,2026-06-10,2026-06-06,BATCH-T-001,100107
VND-004,VAR-ONION-001,300,300,14,8.00,2026-06-12,2026-06-07,BATCH-O-001,100108
VND-004,VAR-POTATO-001,250,248,13,10.00,2026-06-14,2026-06-08,BATCH-PT-001,100109
VND-005,VAR-APPLE-001,120,118,10,80.00,2026-06-09,2026-06-05,BATCH-A-001,100110
